Title,Genre,Artist,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Beat It,pop,Michael Jackson,1OOtq8tRnDM8kG2gqUPjAj,Beat It,Thriller 25 Super Deluxe Edition,74.0,N,2008-02-08,0.776,0.867,-3.704,0.0479,0.0495,7.92e-06,0.197,0.918,3.0,0.0,138.827,258040.0
Friday I'm in Love,pop,The Cure,263aNAQCeFSWipk896byo6,Friday I'm in Love,Wish,68.0,N,1992-04-21,0.526,0.762,-12.437,0.0342,0.000972,0.000116,0.338,0.505,0.0,0.0,136.203,214400.0
I'm Yours,pop,Jason Mraz,1EzrEOXmMH3G43AXT1y7pA,I'm Yours,We Sing. We Dance. We Steal Things.,75.0,N,2008-05-12,0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,0.712,11.0,1.0,150.96,242947.0
Blinding Lights,pop,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,After Hours,88.0,N,2020-03-20,0.513,0.73,-5.94,0.0598,0.00143,9.54e-05,0.0897,0.334,1.0,1.0,171.001,200040.0
Video Games,pop,Lana Del Rey,24jvD83UgLmrdGjhWTFslY,Video Games,Born To Die - The Paradise Edition,64.0,N,2012-11-12,0.236,0.249,-9.595,0.0348,0.811,1e-06,0.087,0.181,6.0,0.0,72.847,281960.0
Boys Don't Cry,pop,The Cure,2RKDbMwtJgKc76H9oPo7Cl,Boys Don't Cry,Greatest Hits,57.0,N,2001-11-13,0.463,0.853,-6.24,0.0706,0.0101,0.0,0.107,0.69,11.0,0.0,169.574,157053.0
Pink + White,pop,Frank Ocean,3xKsf9qdS1CyvXSMEid6g8,Pink + White,Blonde,87.0,N,2016-08-20,0.545,0.545,-7.362,0.107,0.667,5.48e-05,0.417,0.549,9.0,1.0,159.94,184516.0
DARE,pop,Gorillaz,4Hff1IjRbLGeLgFgxvHflk,DARE,Demon Days,76.0,N,2005-05-23,0.76,0.891,-5.852,0.0372,0.0229,0.0869,0.298,0.966,11.0,0.0,120.264,245000.0
Don't Stop the Music,pop,Rihanna,1Jo0Zg7XlrA6z0mFTZVdkn,Don't Stop The Music,Good Girl Gone Bad,70.0,N,2007-01-01,0.834,0.669,-5.582,0.0637,0.0341,7.18e-05,0.0535,0.547,6.0,0.0,122.669,267080.0
Someone Like You,pop,Adele,1zwMYTA5nlNjZxYrvBB2pV,Someone Like You,21,78.0,N,2011-01-24,0.556,0.319,-8.251,0.0281,0.893,0.0,0.0996,0.294,9.0,1.0,135.187,285240.0
