Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Stitches,Shawn Mendes,Pop,5jsw9uXEGuKyJzs0boZ1bT,Stitches,Handwritten,82.0,N,2015-04-14,0.752,0.754,-6.684,0.0615,0.0151,0.0,0.0486,0.755,1.0,1.0,149.789,206880.0
What Do You Mean?,Justin Bieber,Pop,4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,Purpose (Deluxe),79.0,N,2015-11-13,0.845,0.567,-8.118,0.0956,0.59,0.00142,0.0811,0.793,5.0,0.0,125.02,205680.0
Don't Start Now,Dua Lipa,Pop,3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Future Nostalgia,81.0,N,2020-03-27,0.793,0.793,-4.521,0.083,0.0123,0.0,0.0951,0.679,11.0,0.0,123.95,183290.0
Wrecking Ball,Miley Cyrus,Pop,2vwlzO0Qp8kfEtzTsCXfyE,Wrecking Ball,Bangerz (Deluxe Version),79.0,N,2013-10-04,0.53,0.422,-6.262,0.0342,0.407,0.0,0.107,0.349,5.0,1.0,119.964,221360.0
Wake Me Up,Avicii,Pop,0nrRP2bk19rLc0orkWPQk2,Wake Me Up,True,84.0,N,2013-01-01,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,2.0,1.0,124.08,247427.0
Cheap Thrills,Sia ft. Sean Paul,Pop,0ix9DhfJWe4fAWJjdJdXkx,Cheap Thrills - Reprise to Sia Ft. Sean Paul,Workout Pump Hits,16.0,N,2017-02-18,0.582,0.548,-6.659,0.0596,0.00827,7.57e-06,0.0807,0.81,6.0,0.0,179.815,204336.0
Break My Heart,Dua Lipa,Pop,017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Future Nostalgia,75.0,N,2020-03-27,0.73,0.729,-3.434,0.0884,0.167,1.39e-06,0.349,0.467,4.0,0.0,113.011,221820.0
Dangerous Woman,Ariana Grande,Pop,6RUhbFEhrvGISaQ8u2j2JN,Dangerous Woman,Dangerous Woman,69.0,N,2016-05-20,0.664,0.602,-5.369,0.0412,0.0529,0.0,0.356,0.289,4.0,0.0,134.049,235947.0
7 Rings,Ariana Grande,Pop,6ocbgoVGwYJhOv1GgI9NsF,7 rings,"thank u, next",82.0,N,2019-02-08,0.777,0.317,-10.732,0.308,0.591,0.0,0.0881,0.33,1.0,0.0,139.848,178627.0
Lose You To Love Me,Selena Gomez,Pop,4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,Rare,75.0,N,2020-01-10,0.516,0.342,-8.985,0.0425,0.55,0.0,0.21,0.0993,4.0,1.0,102.819,206459.0
