Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Riptide,Vance Joy,Electronic,7yq4Qj7cqayVTp3FF9CWbm,Riptide,Dream Your Life Away,79.0,N,2014-09-08,0.484,0.731,-6.694,0.0379,0.431,0.0,0.151,0.51,1.0,1.0,101.654,204280.0
Revolution,Diplo,Electronic,7aaeZpSr54XQKSwMYO5JeH,Revolution (feat. Faustix & Imanos and Kai),Random White Dude Be Everywhere,47.0,Y,2014-07-29,0.634,0.724,-5.842,0.0546,0.00499,0.000193,0.0732,0.309,5.0,0.0,148.024,263716.0
Come Together,The Chemical Brothers,Electronic,2Xhd1kYKj2aee7JR3nIlRe,Go,Born In The Echoes,45.0,N,2015-07-10,0.751,0.897,-3.598,0.0468,0.00957,2.88e-05,0.329,0.482,1.0,1.0,119.97,260697.0
Make It Bun Dem,Skrillex & Damian Marley,Electronic,0mlf3yOGzVnIVxjybDQL3h,Make It Bun Dem,Make It Bun Dem After Hours EP,60.0,Y,2012-08-28,0.556,0.881,-2.224,0.082,0.00119,0.0,0.0709,0.337,7.0,1.0,104.973,213697.0
Something Just Like This,The Chainsmokers & Coldplay,Electronic,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,Memories...Do Not Open,87.0,Y,2017-04-07,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,11.0,0.0,103.019,247160.0
Ain't It Different,Headie One ft. AJ Tracey & Stormzy,Electronic,03snIuKJr5u7zpyp9zpQMU,Ain't It Different (feat. AJ Tracey & Stormzy),EDNA,56.0,Y,2020-10-09,0.767,0.564,-6.794,0.27,0.0101,2.35e-05,0.11,0.557,4.0,0.0,77.034,196200.0
Lose Control,"Meduza, Becky Hill & Goodboys",Electronic,7CHi4DtfK4heMlQaudCuHK,Lose Control,Lose Control,69.0,Y,2019-10-11,0.598,0.527,-8.659,0.0415,0.129,0.0,0.14,0.53,10.0,0.0,123.943,168387.0
The Middle,"Zedd, Maren Morris & Grey",Electronic,09IStsImFySgyp0pIQdqAc,The Middle,The Middle,77.0,Y,2018-01-23,0.753,0.657,-3.061,0.0449,0.171,0.0,0.112,0.437,7.0,1.0,107.01,184732.0
Sicko Mode,Travis Scott,Electronic,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,ASTROWORLD,81.0,N,2018-08-03,0.834,0.73,-3.714,0.222,0.00513,0.0,0.124,0.446,8.0,1.0,155.008,312820.0
Deep End,Fousheé,Electronic,6HlE9t71z9DjGi7KqSyEpA,Deep End,Deep End,60.0,N,2020-07-31,0.711,0.592,-7.136,0.23,0.758,0.0,0.156,0.535,4.0,0.0,124.749,141224.0
In My Mind,Dynoro & Gigi D'Agostino,Electronic,0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,In My Mind,80.0,Y,2018-06-08,0.694,0.77,-5.335,0.149,0.176,1.1e-05,0.118,0.163,6.0,1.0,125.905,184560.0
Head & Heart,Joel Corry ft. MNEK,Electronic,0WIaj0AIBhbhxsPrWsL1k4,Head & Heart (Made Popular By Joel Corry ft. MNEK) [Karaoke Version],Party Tyme 107 (Karaoke Versions),0.0,N,2021-11-05,0.803,0.697,-9.228,0.0527,0.014,0.713,0.0743,0.845,8.0,1.0,123.003,165980.0
