Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Ex-Factor,Lauryn Hill,R&B,2VjXGuPVVxyhMgER3Uz2Fe,Ex-Factor,The Miseducation of Lauryn Hill,74.0,N,1998-08-25,0.593,0.619,-9.003,0.0976,0.118,0.0,0.484,0.668,3.0,0.0,80.02,326533.0
Fallin',Alicia Keys,R&B,0KQx6HOpJueiSkztcS0r7D,Fallin',Songs In A Minor,77.0,N,2001-06-05,0.652,0.609,-7.519,0.037,0.263,0.00101,0.233,0.482,11.0,0.0,95.986,210200.0
You Make Me Wanna,Usher,R&B,47TqCCnEliDp8NRDyIQoQq,You Make Me Wanna...,My Way,68.0,N,1997-09-16,0.761,0.639,-7.577,0.0539,0.0359,0.0,0.0945,0.922,5.0,0.0,164.088,219120.0
Let's Get It On,Marvin Gaye,R&B,5yr8pi3uCjTYOnTqstBBdm,Let's Get It On,Let's Get It On (Deluxe Edition),49.0,N,2023-08-25,0.502,0.769,-4.946,0.0882,0.137,2e-06,0.0592,0.594,3.0,1.0,167.238,293768.0
My Boo,Usher & Alicia Keys,R&B,68vgtRHr7iZHpzGpon6Jlo,My Boo,Confessions (Expanded Edition),80.0,Y,2004-03-23,0.662,0.507,-8.238,0.118,0.257,0.0,0.0465,0.676,5.0,1.0,86.412,223440.0
Love,Musiq Soulchild,R&B,6uSa5iCMwPr10Ftpz8w09b,Love,Aijuswanaseing,54.0,N,2000-01-01,0.569,0.385,-9.919,0.0499,0.342,0.0,0.0876,0.339,1.0,0.0,99.749,304667.0
Back to Sleep,Chris Brown,R&B,6dlpABcXrQKRU9G00i6Zba,Back To Sleep,Royalty (Deluxe Version),63.0,N,2015-12-18,0.647,0.646,-5.483,0.243,0.0424,0.0,0.0888,0.721,9.0,0.0,92.981,201253.0
Work It Out,Beyoncé,R&B,3hBf0RhTUX3qKJFKaagnIg,Work It Out - New Radio Edit,Work It Out,34.0,N,2002-06-17,0.674,0.838,-4.066,0.2,0.417,0.0,0.189,0.96,5.0,1.0,173.946,221773.0
Don't Leave Me,Blackstreet,R&B,4Lw1ePUkkLEG9kIVhpslO0,Don't Leave Me,The Best Of BLACKstreet - 20th Century Masters The Millennium Collection,50.0,N,2004-01-01,0.789,0.541,-5.067,0.0341,0.0498,0.0,0.0908,0.71,2.0,0.0,81.826,311640.0
Love on Top,Beyoncé,R&B,1z6WtY7X4HQJvzxC4UgkSf,Love On Top,4,72.0,N,2011-06-24,0.652,0.749,-5.248,0.0886,0.0848,0.0,0.604,0.651,0.0,1.0,94.103,267413.0
Foolish,Ashanti,R&B,6zMUIb4uce1CzpbjR3vMdN,Foolish,Ashanti,72.0,N,2002-01-01,0.665,0.695,-5.763,0.0532,0.347,0.0,0.106,0.707,0.0,1.0,90.119,227387.0
Cupid,112,R&B,3kVIFDE3G89I2RPVkiRaRj,Cupid,112,62.0,N,1996-08-27,0.685,0.38,-11.219,0.112,0.373,0.0,0.0371,0.87,8.0,1.0,175.562,252267.0
Fortunate,Maxwell,R&B,2RtvkLz5tmOXlzz918It6E,Fortunate,Fortunate,59.0,N,1999-03-03,0.74,0.359,-8.309,0.0462,0.0951,0.0,0.129,0.377,10.0,0.0,126.15,301160.0
Me & U,Cassie,R&B,7k6IzwMGpxnRghE7YosnXT,Me & U,Cassie (U.S. Version),77.0,N,2006-08-07,0.803,0.454,-4.802,0.0294,0.352,0.0,0.0655,0.739,8.0,0.0,99.99,192213.0
Let Me Love You,Mario,R&B,3ibKnFDaa3GhpPGlOUj7ff,Let Me Love You,Let Me Love You,72.0,N,2004-09-21,0.656,0.578,-8.97,0.0922,0.235,0.0,0.118,0.556,7.0,0.0,94.514,256733.0
Nobody,Keith Sweat,R&B,4SF1747p541umnykBp352Q,Nobody (feat. Athena Cage),Keith Sweat,62.0,Y,1996,0.699,0.492,-9.449,0.0318,0.484,0.0,0.0482,0.388,9.0,0.0,117.907,264773.0
Real Love,Mary J. Blige,R&B,3XG801WWhqC753dekEBkMt,Real Love,What's The 411?,62.0,N,1992-01-01,0.769,0.781,-5.472,0.0797,0.12,0.00037,0.0506,0.826,0.0,1.0,95.021,269973.0
